# Logfile created on 2026-09-09 20:59:08 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:08 +0200: Memory Usage (457016K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/AION_a21oi_nor2_1.gds
2026-09-09 20:59:08 +0200: Memory Usage (457016K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : Loading database to memory is complete.
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/drc/AION_a21oi_nor2_1.klayout.drc/AION_a21oi_nor2_1_AION_a21oi_nor2_1_metal1.lyrdb
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : Evaluate switches.
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : tables selected: metal1
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : deep mode is enabled.
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : FEOL enabled: false
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : BEOL enabled: false
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : OFFGRID enabled: true
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : ANGLE enabled: true
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : PIN enabled: false
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : FORBIDDEN enabled: false
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : RECOMMENDED enabled: true
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : PreCheck DRC enabled: false
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:08 +0200: Memory Usage (457944K) : Read in polygons from layers.
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_drw has 5 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_pin has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_mask has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_filler has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_nofill has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_iopc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : activ_noqrc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : biwind_drw has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : biwind_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : pemwind_drw has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_drw has 10 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459088K) : cont_drw has 40 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : cont_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : nsd_drw has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : nsd_block has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : metal1_drw has 23 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : metal1_pin has 7 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : metal1_mask has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459248K) : metal1_filler has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459408K) : metal1_nofill has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459408K) : metal1_slit has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459772K) : metal1_text has 7 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459772K) : metal1_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459772K) : metal1_noqrc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459932K) : metal1_res has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459932K) : metal1_iprobe has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (459932K) : metal1_diffprb has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460092K) : passiv_drw has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460092K) : passiv_pin has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460092K) : passiv_sbump has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : passiv_pillar has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : passiv_pdl has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_drw has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_pin has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_mask has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_filler has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_nofill has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_slit has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_text has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460252K) : metal2_opc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460572K) : metal2_noqrc has 0 polygons
2026-09-09 20:59:08 +0200: Memory Usage (460572K) : metal2_res has 0 polygons
