# Logfile created on 2026-09-09 20:59:16 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:16 +0200: Memory Usage (456896K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:16 +0200: Memory Usage (456896K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : Loading database to memory is complete.
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_contbar.lyrdb
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : Evaluate switches.
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : tables selected: contbar
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : deep mode is enabled.
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : FEOL enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : BEOL enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : OFFGRID enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : ANGLE enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : PIN enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : FORBIDDEN enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : RECOMMENDED enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : PreCheck DRC enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:16 +0200: Memory Usage (457856K) : Read in polygons from layers.
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_drw has 6 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_pin has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_mask has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_filler has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_nofill has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_iopc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : activ_noqrc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : biwind_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : biwind_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459004K) : pemwind_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459196K) : gatpoly_drw has 5 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459196K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459196K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459196K) : gatpoly_nofill has 0 polygons
