# Logfile created on 2026-09-09 20:57:39 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:39 +0200: Memory Usage (456856K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:39 +0200: Memory Usage (456856K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:39 +0200: Memory Usage (458008K) : Loading database to memory is complete.
2026-09-09 20:57:39 +0200: Memory Usage (458008K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_vian.lyrdb
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : Evaluate switches.
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : tables selected: vian
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : deep mode is enabled.
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : FEOL enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : BEOL enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : OFFGRID enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : ANGLE enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : PIN enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : FORBIDDEN enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : RECOMMENDED enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : PreCheck DRC enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:39 +0200: Memory Usage (458200K) : Read in polygons from layers.
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_drw has 6 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_pin has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_mask has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_filler has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_nofill has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_opc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_iopc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : activ_noqrc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : biwind_drw has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : biwind_opc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (458968K) : pemwind_drw has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_drw has 5 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459160K) : cont_drw has 51 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459320K) : cont_opc has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459320K) : nsd_drw has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459320K) : nsd_block has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459512K) : metal1_drw has 11 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459512K) : metal1_pin has 7 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459512K) : metal1_mask has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459672K) : metal1_filler has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459672K) : metal1_nofill has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459672K) : metal1_slit has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (460024K) : metal1_text has 7 polygons
2026-09-09 20:57:39 +0200: Memory Usage (460024K) : metal1_opc has 0 polygons
